Compacidad,Tolerancia,Disimilitud,Balance,init_cross
198.0,45.0,0.3748835876495451,0.0039504648875481,random_dense+UX
240.0,50.0,0.3588874113475177,0.0035978756216676,random_dense+UX
237.0,51.0,0.3561061735045037,0.0035128610561223,random_dense+UX
226.0,50.0,0.3801740099165254,0.0042916795574822,random_dense+UX
226.0,50.0,0.3718893177681541,0.0039796853581801,random_dense+UX
226.0,50.0,0.3610823448189292,0.0035544940960662,random_dense+UX
219.0,50.0,0.383035396223971,0.0040037150776483,random_dense+UX
219.0,50.0,0.374522329090968,0.0037899168338083,random_dense+UX
219.0,50.0,0.3683895203860228,0.003567070433836,random_dense+UX
217.0,47.0,0.3832320162107396,0.0042863347109828,random_dense+UX
214.0,51.0,0.3790473586531451,0.0038152892806519,random_dense+UX
217.0,47.0,0.3715437788018433,0.0038858508123066,random_dense+UX
213.0,48.0,0.3828288882229547,0.0040736089645444,random_dense+UX
212.0,50.0,0.3806035059547705,0.0037963349668154,random_dense+UX
210.0,50.0,0.3796563660925363,0.003806859127426,random_dense+UX
209.0,49.0,0.3798440734330991,0.0039538690735332,random_dense+UX
274.0,62.0,0.3656494279650049,0.0037678622309106,random_dense+UX
248.0,59.0,0.388158459162663,0.0041954372184625,random_dense+UX
259.0,56.0,0.3791895999342808,0.0040737402784676,random_dense+UX
259.0,56.0,0.369263260220707,0.0037849889010232,random_dense+UX
259.0,56.0,0.3606958021851639,0.0034027458064741,random_dense+UX
241.0,55.0,0.3892837173714723,0.0042038133622728,random_dense+UX
249.0,52.0,0.3812234754621322,0.0041454747020517,random_dense+UX
249.0,52.0,0.3713826938961519,0.0038212786552033,random_dense+UX
249.0,52.0,0.3636460736563274,0.0036827565308889,random_dense+UX
249.0,52.0,0.3591956478395852,0.0036695516108299,random_dense+UX
236.0,52.0,0.3880574588291862,0.0043798187191381,random_dense+UX
240.0,50.0,0.3828900709219858,0.004296247568868,random_dense+UX
240.0,50.0,0.3774453309692671,0.0038930057780425,random_dense+UX
240.0,50.0,0.369422281323877,0.0036626193538184,random_dense+UX
230.0,51.0,0.3878391921060746,0.0041584300257372,random_dense+UX
227.0,53.0,0.3849392320429906,0.0039284509755555,random_dense+UX
227.0,53.0,0.3804909863467366,0.0037237751959201,random_dense+UX
226.0,50.0,0.3856422205485471,0.0042055575743563,random_dense+UX
222.0,50.0,0.3861294805443742,0.0041726429307122,random_dense+UX
278.0,65.0,0.3775288280014286,0.0039682150240901,random_dense+UX
278.0,65.0,0.3737021021480687,0.0037900777042109,random_dense+UX
290.0,64.0,0.3630624847150892,0.0035658258997605,random_dense+UX
261.0,61.0,0.3831689356267492,0.0039823269115939,random_dense+UX
261.0,61.0,0.374809787777506,0.0037914984982676,random_dense+UX
261.0,61.0,0.3686924268362272,0.0037967092213378,random_dense+UX
267.0,60.0,0.3604370866204478,0.0036600073346926,random_dense+UX
248.0,59.0,0.3880583676504232,0.0041101929450893,random_dense+UX
259.0,56.0,0.3830608724225745,0.0041125909939171,random_dense+UX
259.0,56.0,0.3766566718694378,0.0039377965577068,random_dense+UX
259.0,56.0,0.3689243955201402,0.0035685266300064,random_dense+UX
241.0,57.0,0.3894933933668815,0.0042118868699999,random_dense+UX
241.0,57.0,0.384924663782702,0.0039406888466922,random_dense+UX
241.0,57.0,0.3821657691062652,0.0038398208449232,random_dense+UX
237.0,55.0,0.3895846425472065,0.0042374020394553,random_dense+UX
246.0,51.0,0.3833102692729055,0.0041843790518553,random_dense+UX
290.0,66.0,0.3728142577647346,0.0038267490823521,random_dense+UX
290.0,66.0,0.3677396674003423,0.003678228868052,random_dense+UX
267.0,63.0,0.3837125136133025,0.0039788761918748,random_dense+UX
282.0,61.0,0.3750911674463055,0.003940938103353,random_dense+UX
282.0,61.0,0.3710923746290428,0.0038421122936483,random_dense+UX
259.0,60.0,0.384758618801172,0.0040456511325945,random_dense+UX
259.0,60.0,0.3801103535146088,0.0037763308713274,random_dense+UX
248.0,59.0,0.3862209734614504,0.0039607898757942,random_dense+UX
247.0,56.0,0.387705659402188,0.0041353595274095,random_dense+UX
293.0,67.0,0.3707368140778931,0.0037621115480086,random_dense+UX
284.0,63.0,0.3738138048147038,0.0038873830535487,random_dense+UX
268.0,61.0,0.3841100349317243,0.0040933903528595,random_dense+UX
260.0,59.0,0.3854132569558101,0.0041015078455716,random_dense+UX
290.0,68.0,0.372560528246515,0.0037937565614095,random_dense+UX
301.0,68.0,0.3645914328126104,0.0036673143529043,random_dense+UX
291.0,65.0,0.3710822305086398,0.0038053821659351,random_dense+UX
