Compacidad,Tolerancia,Disimilitud,Balance,init_cross
34.0,8.0,0.45377033792240296,0.00621655095112633,greedy_multi+UX
32.0,7.0,0.4191323138297872,0.005867436116720646,greedy_multi+UX
27.0,5.0,0.4029419490412398,0.006576096222455026,greedy_multi+UX
32.0,8.0,0.5044326241134752,0.008589338988858726,greedy_multi+UX
17.0,4.0,0.4774196912807676,0.012502718924138382,greedy_multi+UX
13.0,2.0,0.478177850518276,0.01587991448527028,greedy_multi+UX
27.0,5.0,0.5065668505384817,0.010033343800275589,greedy_multi+UX
39.0,11.0,0.4856564829969085,0.0069505763227760125,greedy_multi+UX
22.0,3.0,0.5063265635074146,0.010893170186473157,greedy_multi+UX
40.0,11.0,0.4665780141843972,0.006287669445701923,greedy_multi+UX
11.0,1.0,0.4364119922630561,0.017702066708069966,greedy_multi+UX
12.0,2.0,0.5079787234042553,0.019932399862515424,greedy_multi+UX
25.0,4.0,0.44191489361702124,0.007525411196619866,greedy_multi+UX
21.0,5.0,0.5074721377912867,0.012560561232188638,greedy_multi+UX
24.0,6.0,0.4609559692671395,0.008749093510467156,greedy_multi+UX
29.0,8.0,0.49385546588407925,0.00780287684224105,greedy_multi+UX
34.0,8.0,0.4800531914893617,0.006765644180408025,greedy_multi+UX
18.0,2.0,0.5064026792750197,0.011866894674548144,greedy_multi+UX
27.0,6.0,0.5075518781192541,0.011636827429101403,greedy_multi+UX
37.0,10.0,0.4843300747556067,0.006831110318226896,greedy_multi+UX
8.0,1.0,0.44470301418439717,0.025130962331340666,greedy_multi+UX
15.0,1.0,0.4388888888888889,0.012766614131862423,greedy_multi+UX
29.0,7.0,0.5058082660797261,0.009563079723881488,greedy_multi+UX
7.0,1.0,0.5092451874366768,0.03410905538464034,greedy_multi+UX
23.0,4.0,0.3854841196423065,0.007428686447595736,greedy_multi+UX
17.0,1.0,0.3316124322069253,0.009358208916583047,greedy_multi+UX
10.0,1.0,0.40248226950354604,0.018504476635984105,greedy_multi+UX
38.0,9.0,0.45523049645390073,0.006151842708401701,greedy_multi+UX
7.0,1.0,0.4830293819655522,0.032278216100081004,greedy_multi+UX
9.0,1.0,0.4724192277383767,0.02351475849203983,greedy_multi+UX
33.0,9.0,0.497555340640447,0.0076104848354135255,greedy_multi+UX
22.0,2.0,0.3843085106382979,0.007659453851137483,greedy_multi+UX
17.0,3.0,0.5078222778473092,0.014601748483058882,greedy_multi+UX
21.0,3.0,0.3553275920297197,0.007800535564728058,greedy_multi+UX
28.0,5.0,0.47837512664640325,0.007519003656898925,greedy_multi+UX
15.0,2.0,0.38806146572104017,0.011662041927244945,greedy_multi+UX
13.0,2.0,0.4357610474631751,0.01490478926535979,greedy_multi+UX
14.0,1.0,0.5078520770010132,0.01647474668153063,greedy_multi+UX
29.0,6.0,0.4475421863536317,0.006788070350332379,greedy_multi+UX
25.0,7.0,0.48921985815602836,0.008749036768774237,greedy_multi+UX
22.0,5.0,0.48682301740812384,0.009433438813730976,greedy_multi+UX
8.0,1.0,0.5085328014184397,0.02800509466874801,greedy_multi+UX
33.0,9.0,0.49175263271007946,0.007558210996152527,greedy_multi+UX
30.0,7.0,0.4791371158392435,0.00713369199514888,greedy_multi+UX
19.0,3.0,0.4892683837252706,0.01128932348303435,greedy_multi+UX
37.0,9.0,0.42958117692160247,0.005573285569775705,greedy_multi+UX
19.0,3.0,0.4356569615528182,0.010039459071642507,greedy_multi+UX
