algorithm,init,crossover,IGD+
NSGA2,greedy_ting,UX,0.0273191949266144
NSGA2,greedy_ting,HUX,0.0275484930536639
SMSEMOA,greedy_ting,2P,0.0426137934859705
UNSGA3,greedy_ting,HUX,0.0439939798917121
NSGA3,greedy_ting,HUX,0.0449362866538088
UNSGA3,greedy_ting,UX,0.0455838541974292
NSGA3,greedy_ting,UX,0.0457649987037992
AGEMOEA2,greedy_ting,2P,0.0471473734651998
AGEMOEA2,greedy_ting,HUX,0.047901263996118
AGEMOEA2,greedy_ting,1P,0.0483443449100375
AGEMOEA2,greedy_ting,UX,0.0493718406131187
NSGA2,greedy_ting,2P,0.0497128653893427
SMSEMOA,greedy_ting,1P,0.0535740938856449
SMSEMOA,greedy_ting,HUX,0.053915188475206
NSGA2,greedy_ting,1P,0.054893809106159
SMSEMOA,greedy_ting,UX,0.055458940984552
UNSGA3,greedy_ting,2P,0.0566274685757359
NSGA3,greedy_ting,2P,0.0577187672795269
SPEA2,greedy_ting,HUX,0.0609093661496786
UNSGA3,greedy_ting,1P,0.0617573317554379
SPEA2,greedy_ting,UX,0.0621950894489791
NSGA3,greedy_ting,1P,0.0638975635662398
SPEA2,greedy_ting,1P,0.0737307950685681
SPEA2,greedy_ting,2P,0.091382006188968
NSGA2,random_dense,UX,0.1043783607470792
NSGA2,random_dense,HUX,0.1061165089147992
RVEA,greedy_ting,1P,0.1337768582520717
NSGA3,random_dense,HUX,0.1342654593719578
NSGA3,random_dense,UX,0.1364815835092563
UNSGA3,random_dense,UX,0.1366280651746342
UNSGA3,random_dense,HUX,0.1396567849176445
AGEMOEA2,random_dense,UX,0.14590925502751
NSGA2,random_dense,2P,0.1460541229420648
AGEMOEA2,random_dense,HUX,0.1555327886867154
AGEMOEA2,random_dense,2P,0.1559415075606273
RVEA,greedy_ting,HUX,0.1666385737129817
RVEA,greedy_ting,UX,0.169491147649574
RVEA,greedy_ting,2P,0.1697879638932158
NSGA2,random_dense,1P,0.1704744621826036
NSGA3,random_dense,2P,0.1714974427921748
AGEMOEA2,random_dense,1P,0.1729587258573129
UNSGA3,random_dense,2P,0.1767200151911103
RVEA,random_dense,UX,0.1807103956876395
SPEA2,random_dense,2P,0.1816570057386038
SMSEMOA,random_dense,2P,0.1821194224094497
RVEA,random_dense,HUX,0.1842365274230961
SMSEMOA,random_dense,UX,0.1853727993347794
NSGA3,random_dense,1P,0.1896918110947777
SMSEMOA,random_dense,HUX,0.1907501981825914
SPEA2,random_dense,UX,0.19310216392756321
RVEA,random_dense,2P,0.1978337026425706
SPEA2,random_dense,1P,0.1984058782150567
UNSGA3,random_dense,1P,0.1995242598752099
SMSEMOA,random_dense,1P,0.2045513245471593
SPEA2,random_dense,HUX,0.2085677101703106
RVEA,random_dense,1P,0.2187860938788354
SPEA2,greedy_multi,UX,0.4532645398666606
NSGA2,greedy_multi,HUX,0.4569772182275439
SPEA2,greedy_multi,HUX,0.4573482561248659
NSGA2,greedy_multi,UX,0.4618099840060465
AGEMOEA2,greedy_multi,HUX,0.4778359932740522
AGEMOEA2,greedy_multi,UX,0.4806490919376736
NSGA3,greedy_multi,HUX,0.4868056908632417
UNSGA3,greedy_multi,HUX,0.4949513098983046
NSGA2,greedy_multi,2P,0.4961432864213729
UNSGA3,greedy_multi,UX,0.4966735088739226
NSGA2,greedy_multi,1P,0.4997822443606631
SPEA2,greedy_multi,2P,0.501304652884385
NSGA3,greedy_multi,UX,0.5059275307794486
SPEA2,greedy_multi,1P,0.5074491795069801
AGEMOEA2,greedy_multi,2P,0.5104580245803816
AGEMOEA2,greedy_multi,1P,0.510458653753854
UNSGA3,greedy_multi,1P,0.5182181762481274
UNSGA3,greedy_multi,2P,0.5209209680420026
NSGA3,greedy_multi,2P,0.5253522652359819
NSGA3,greedy_multi,1P,0.5299313453703052
SMSEMOA,greedy_multi,UX,0.5391798385679808
SMSEMOA,greedy_multi,HUX,0.5402061684466596
SMSEMOA,greedy_multi,2P,0.5449850009470769
SMSEMOA,greedy_multi,1P,0.5472115614268644
RVEA,greedy_multi,UX,0.5552125880335468
RVEA,greedy_multi,HUX,0.5586348232004993
RVEA,greedy_multi,2P,0.5683031754660801
RVEA,greedy_multi,1P,0.5777436044689909
